iter	Passed	Remaining
0	79	39846
1	154	38531
2	227	37726
3	305	37923
4	379	37565
5	446	36725
6	516	36406
7	601	37001
8	668	36494
9	746	36583
10	817	36331
11	891	36234
12	968	36269
13	1044	36249
14	1117	36130
15	1193	36107
16	1262	35876
17	1332	35680
18	1404	35553
19	1479	35498
20	1557	35514
21	1641	35665
22	1718	35648
23	1799	35688
24	1866	35468
25	1942	35414
26	2017	35336
27	2087	35182
28	2166	35186
29	2239	35091
30	2326	35198
31	2394	35013
32	2469	34953
33	2555	35025
34	2635	35011
35	2702	34829
36	2780	34799
37	2855	34718
38	2928	34619
39	3008	34597
40	3073	34407
41	3146	34308
42	3232	34351
43	3317	34383
44	3391	34293
45	3472	34270
46	3544	34164
47	3611	34007
48	3683	33904
49	3752	33772
50	3826	33689
51	3902	33624
52	3982	33588
53	4062	33554
54	4133	33440
55	4208	33363
56	4291	33351
57	4365	33264
58	4441	33197
59	4515	33111
60	4586	33011
61	4663	32944
62	4738	32872
63	4813	32792
64	4883	32685
65	4949	32548
66	5016	32419
67	5089	32334
68	5151	32180
69	5261	32319
70	5346	32304
71	5437	32324
72	5511	32239
73	5603	32260
74	5681	32192
75	5754	32102
76	5821	31979
77	5889	31863
78	5959	31756
79	6022	31618
80	6087	31488
81	6168	31444
82	6278	31542
83	6360	31498
84	6423	31360
85	6527	31424
86	6603	31348
87	6674	31247
88	6754	31191
89	6832	31125
90	6895	30993
91	6975	30936
92	7043	30823
93	7111	30717
94	7190	30655
95	7272	30605
96	7342	30504
97	7413	30408
98	7482	30308
99	7582	30330
100	7655	30241
101	7727	30153
102	7790	30027
103	7864	29945
104	7942	29878
105	8008	29765
106	8076	29663
107	8139	29543
108	8212	29460
109	8289	29389
110	8384	29382
111	8445	29259
112	8529	29213
113	8609	29152
114	8682	29066
115	8756	28986
116	8814	28854
117	8885	28764
118	8963	28697
119	9030	28597
120	9105	28519
121	9173	28422
122	9243	28331
123	9312	28237
124	9378	28134
125	9447	28041
126	9521	27963
127	9590	27871
128	9655	27768
129	9719	27663
130	9778	27543
131	9847	27453
132	9915	27360
133	9974	27243
134	10042	27150
135	10106	27048
136	10174	26957
137	10256	26905
138	10324	26814
139	10395	26731
140	10461	26635
141	10535	26560
142	10607	26482
143	10678	26399
144	10748	26314
145	10819	26233
146	10894	26161
147	10970	26092
148	11037	26000
149	11108	25920
150	11182	25845
151	11271	25806
152	11353	25748
153	11425	25670
154	11494	25583
155	11577	25529
156	11648	25449
157	11715	25359
158	11797	25300
159	11868	25220
160	11935	25131
161	12020	25080
162	12098	25013
163	12167	24929
164	12248	24868
165	12329	24807
166	12404	24734
167	12491	24685
168	12584	24648
169	12656	24569
170	12732	24497
171	12796	24403
172	12858	24305
173	12935	24234
174	13010	24162
175	13081	24082
176	13152	24002
177	13222	23919
178	13290	23834
179	13364	23758
180	13433	23674
181	13505	23597
182	13576	23517
183	13639	23424
184	13705	23335
185	13763	23235
186	13831	23151
187	13901	23070
188	13963	22977
189	14037	22903
190	14119	22842
191	14188	22760
192	14260	22683
193	14328	22600
194	14397	22518
195	14462	22431
196	14529	22346
197	14593	22258
198	14651	22161
199	14717	22076
200	14779	21984
201	14846	21901
202	14917	21824
203	14985	21743
204	15052	21661
205	15119	21577
206	15190	21501
207	15265	21430
208	15339	21358
209	15416	21289
210	15486	21210
211	15549	21124
212	15618	21044
213	15697	20979
214	15783	20922
215	15861	20855
