feature,importance
EXT_SOURCE_WEIGHTED,660
BUREAU_DEBT_CREDIT_RATIO_MAX,265
CREDIT_GOODS_RATIO,263
EXT_SOURCE_MIN,261
AMT_GOODS_PRICE,254
AMT_ANNUITY,251
EXT_SOURCE_2,217
EXT_SOURCE_1,203
CREDIT_PER_PERSON,197
EXT_SOURCE_3,194
IP_PAYMENT_RATIO_MEAN,189
YEARS_EMPLOYED,186
EXT_SOURCE_1x2,186
PC_REMAINING_RATIO_MEAN,185
DAYS_BIRTH,184
EXT_SOURCE_MAX,183
PA_AMT_DIFF_RATIO_MEAN,178
EMPLOYED_AGE_RATIO,176
AGE_YEARS,162
DAYS_ID_PUBLISH,159
ANNUITY_INCOME_RATIO,156
AMT_CREDIT,147
PC_MONTHS_TOTAL,146
BUREAU_YEARS_CREDIT_MIN,145
IP_LATE_RATIO,143
CC_RECENT_LIMIT_USAGE_MAX,141
IP_PAYMENT_RATIO_MIN,138
BUREAU_AMT_CREDIT_SUM_MAX,131
INCOME_CREDIT_RATIO,130
IP_PAYMENT_DELAY_STD,129
BUREAU_AMT_CREDIT_SUM_MEAN,126
CODE_GENDER_M,124
BUREAU_CREDIT_DURATION_MEAN,122
BUREAU_AMT_CREDIT_SUM_MIN,121
BUREAU_YEARS_CREDIT_UPDATE_MEAN,117
DAYS_EMPLOYED,116
YEARS_LAST_PHONE_CHANGE,116
BUREAU_YEARS_CREDIT_MEAN,115
IP_LAST_DELAY_MEAN,113
DAYS_REGISTRATION,110
PC_CNT_INSTALMENT_MAX,107
PA_LAST_AMT_ANNUITY,106
REGISTRATION_ID_GAP,106
PA_CNT_PAYMENT_MEAN,105
PC_RECENT_MONTHS,100
DOCUMENTS_PROVIDED,100
IP_INSTALMENTS_PER_LOAN_MEAN,98
YEARS_ID_PUBLISH,97
PC_CNT_INSTALMENT_MEAN,97
BUREAU_CREDIT_DURATION_MAX,94
BUREAU_DEBT_CREDIT_RATIO_MEAN,92
IP_TOTAL_INSTALMENTS,92
BUREAU_AMT_CREDIT_SUM_SUM,92
OWN_CAR_AGE,92
