feature,importance
EXT_SOURCE_WEIGHTED,0.059825994
CC_RECENT_LIMIT_USAGE_MAX,0.014859147
EXT_SOURCE_MAX,0.014318444
NAME_EDUCATION_TYPE_Higher education,0.013590957
IP_RECENT_LATE_RATIO_MEAN,0.012247736
DAYS_EMPLOYED,0.01163161
CODE_GENDER_M,0.01061122
IP_PAYMENT_RATIO_MEAN,0.009557269
BUREAU_DEBT_CREDIT_RATIO_MAX,0.0093793655
NAME_EDUCATION_TYPE_Secondary / secondary special,0.0092802085
CREDIT_GOODS_RATIO,0.008983715
FLAG_EMP_PHONE,0.008839937
EXT_SOURCE_MIN,0.008722643
PA_IS_APPROVED_RATIO,0.008707606
IP_LATE_RATIO,0.008157034
FLAG_DOCUMENT_3,0.0077651935
IP_LOANS_COUNT,0.0073414417
IP_UNDERPAY_RATIO,0.0070143957
PC_LOANS_COUNT,0.0069945497
PA_IS_REJECTED_RATIO,0.0069037247
YEARS_EMPLOYED,0.006590428
CC_LIMIT_USAGE_MEAN,0.006211835
PC_RECENT_DPD_MEAN,0.006102135
PC_MONTHS_TOTAL,0.0059651155
PA_CNT_PAYMENT_MAX,0.005933293
AGE_YEARS,0.0057700933
OWN_CAR_AGE,0.0055757207
PA_AMT_DIFF_RATIO_MEAN,0.005461093
PC_CNT_INSTALMENT_MEAN,0.0054588323
PC_REMAINING_RATIO_MEAN,0.0054432917
PC_CNT_INSTALMENT_MAX,0.005416555
OWN_CAR_AGE_MISSING,0.0053238543
SOCIAL_DEF_30_RATIO,0.0052216034
EXT_SOURCE_1,0.0049912343
SOCIAL_DEF_60_RATIO,0.0049766125
AMT_GOODS_PRICE,0.004935561
PC_RECENT_MONTHS,0.004878053
CC_LIMIT_USAGE_MAX,0.00486011
REG_CITY_NOT_LIVE_CITY,0.0047763325
AMT_ANNUITY,0.004740687
FLOORSMAX_MEAN_CROSS,0.004711286
BUREAU_CREDIT_DURATION_MEAN,0.0047085476
BUREAU_DEBT_CREDIT_RATIO_MEAN,0.0046025543
PA_AMT_REDUCED_RATIO,0.0045966324
IP_RECENT_UNDERPAY_RATIO_MEAN,0.004548392
BUREAU_COUNT,0.004430387
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0044261217
ANNUITY_INCOME_RATIO,0.0044108164
PC_RECENT_DPD_DEF_MAX,0.004331009
AMT_REQ_CREDIT_BUREAU_QRT,0.0043008965
PC_RECENT_DPD_MAX,0.004255965
CC_ATM_RATIO_MEAN,0.0040932596
ADULTS_COUNT,0.0040859194
DAYS_LAST_PHONE_CHANGE,0.004025979
CC_DRAWINGS_TOTAL_AMT_MEAN,0.0040227217
AMT_CREDIT,0.0039299824
PA_AMT_APPLICATION_SUM,0.0038992055
CC_RECEIVABLE_TOTAL_MEAN,0.0038130002
DOCUMENTS_PROVIDED,0.003796346
DAYS_BIRTH,0.0037851466
REGION_RATING_CLIENT_W_CITY,0.0037400038
BUREAU_AMT_CREDIT_SUM_MAX,0.0037096038
BUREAU_ACTIVE_RATIO,0.00366719
YEARS_BUILD_MODE_MISSING,0.0035969457
EXT_SOURCE_3,0.0035802484
BUREAU_AMT_CREDIT_SUM_SUM,0.003575301
CC_DRAWINGS_TOTAL_CNT_MEAN,0.0035616807
IP_TOTAL_INSTALMENTS,0.003557227
FLOORSMAX_MEDI,0.003546195
PA_CNT_PAYMENT_MEAN,0.003527466
NAME_CONTRACT_TYPE_Revolving loans,0.0035256245
DEF_30_CNT_SOCIAL_CIRCLE,0.0034433138
PC_SK_DPD_DEF_MAX,0.0034401533
YEARS_ID_PUBLISH,0.0034371263
EMPLOYED_AGE_RATIO,0.003396351
BUREAU_YEARS_CREDIT_MEAN,0.0033864982
IP_PAYMENT_DELAY_MAX,0.003366495
FLAG_WORK_PHONE,0.0033592451
PA_AMT_APPLICATION_MAX,0.003343527
CC_RECENT_DRAWINGS_CNT_MEAN,0.0032835791
LANDAREA_MEAN_CROSS,0.003227391
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,0.0032005343
IP_RECENT_DELAY_MAX,0.0031549698
CC_INSTALMENT_MATURE_CUM_MEAN,0.0031385391
IP_LAST_DELAY_MEAN,0.0031167183
FLAG_DOCUMENT_6,0.003106975
PA_AMT_CREDIT_MAX,0.0030847224
LIVINGAPARTMENTS_MODE,0.003074433
CC_RECENT_LIMIT_USAGE_MEAN,0.0030399596
CC_CREDIT_LIMIT_MIN,0.0030305858
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,0.003028559
YEARS_LAST_PHONE_CHANGE,0.0030187927
DAYS_ID_PUBLISH,0.0030015453
LIVINGAREA_AVG,0.0029814478
PC_TREND_REMAINING_MEAN,0.0029645872
BUREAU_CREDIT_CARD_USAGE_MEAN,0.0029619737
IP_VERSION_CHANGES_MEAN,0.0029560989
EXT_SOURCE_2,0.002935054
CC_INST_MIN_REGULARITY_MEAN,0.0028952789
PA_AMT_CREDIT_SUM,0.0028911782
YEARS_BEGINEXPLUATATION_MODE,0.0028865742
IP_PAYMENT_RATIO_MIN,0.0028781553
CREDIT_PER_PERSON,0.002872924
ELEVATORS_MEAN_CROSS,0.0028658845
PC_FIRST_DPD_MEAN,0.0028636681
AMT_REQ_CREDIT_BUREAU_DAY,0.002847069
BUREAU_ENQUIRY_TOTAL,0.0028470466
ELEVATORS_AVG,0.002841334
IP_TOTAL_PAYMENT_DIFF_RATIO,0.002835434
BUREAU_TOTAL_DEBT_CREDIT_RATIO,0.0028261712
CC_CREDIT_LIMIT_MEAN,0.002816812
PA_DECISION_TO_DRAWING_MEAN,0.0028074791
BUREAU_ACTIVE_COUNT,0.0028059548
APARTMENTS_MEDI,0.0028054274
BUREAU_BALANCE_MONTHS_RANGE_MEAN,0.0028021538
IP_PAYMENT_DIFF_SUM,0.0027972783
PC_DPD_OVER_30_RATIO,0.0027944995
BUREAU_BALANCE_STATUS_0_SUM,0.0027724106
BUREAU_AMT_CREDIT_SUM_MEAN,0.0027340995
FLAG_PHONE,0.0027335475
PA_AMT_DIFF_MEAN,0.0027249474
CC_INSTALMENT_MATURE_CUM_MAX,0.0027248375
FLOORSMAX_MODE,0.002719141
REGION_RATING_COMBO,0.002704293
INCOME_CREDIT_RATIO,0.0026849885
LANDAREA_MODE,0.002677674
APARTMENTS_AVG,0.00267666
EXT_SOURCE_1x2,0.0026755764
BUREAU_BALANCE_MONTHS_MEAN,0.0026712988
YEARS_REGISTRATION,0.00266731
PC_MONTHS_PER_LOAN_MEAN,0.0026517557
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.002645077
PA_LAST_AMT_ANNUITY,0.0026434222
BUREAU_YEARS_CREDIT_MIN,0.002641696
BUREAU_CREDIT_DURATION_MAX,0.00264136
PA_CONTRACT_TYPE_0,0.002616913
PA_PORTFOLIO_3,0.002610815
APARTMENTS_MEAN_CROSS,0.002603431
YEARS_BEGINEXPLUATATION_MEDI,0.0025745118
PA_AMT_APPLICATION_MEAN,0.0025576942
CC_PAYMENT_TOTAL_SUM,0.002545294
PA_CREDIT_DURATION_MEAN,0.002542213
IP_INSTALMENTS_PER_LOAN_MEAN,0.0025300202
BUREAU_YEARS_CREDIT_UPDATE_MEAN,0.0025198206
CC_LIMIT_USAGE_MIN,0.002509702
NONLIVINGAREA_AVG,0.0025081888
PC_PAYMENT_SPEED_MEAN,0.00250319
PA_APPLICATION_INTENSITY,0.002484515
LIVINGAREA_MODE,0.0024751094
PA_APPLY_NIGHT_RATIO,0.0024629703
CC_PAYMENT_TOTAL_MAX,0.0024621522
PA_NFLAG_INSURED_RATIO,0.0024606942
PA_AMT_CREDIT_MEAN,0.002459355
CC_AVG_DRAWING_AMT_MEAN,0.002457779
ELEVATORS_MEDI,0.0024341873
CC_INSTALLMENT_BALANCE_RATIO_MEAN,0.0024307088
COMMONAREA_AVG,0.0024187898
IP_PAYMENT_DELAY_STD,0.0024177216
YEARS_BEGINEXPLUATATION_MEAN_CROSS,0.0024113627
BUREAU_MAX_OVERDUE_COUNT,0.0024090789
BASEMENTAREA_MEAN_CROSS,0.0023996206
LIVINGAREA_MEAN_CROSS,0.0023953004
PA_AMT_APPLICATION_MIN,0.0023815318
CC_CREDIT_LIMIT_MAX,0.0023659817
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.002363947
NONLIVINGAREA_MEAN_CROSS,0.0023538144
FLOORSMAX_AVG,0.00235266
CC_RECENT_PAYMENT_TOTAL_MEAN,0.002350736
PA_LAST_CREDIT_DURATION,0.0023506943
CC_DRAWINGS_TOTAL_AMT_SUM,0.0023497574
LIVINGAREA_MEDI,0.0023484586
ENTRANCES_MEAN_CROSS,0.0023445287
YEARS_BUILD_MEAN_CROSS,0.0023341363
BUREAU_BALANCE_MONTHS_SUM,0.0023331672
PA_ANNUITY_CREDIT_RATIO_MAX,0.0023214861
BUREAU_BALANCE_MONTHS_RECENT_MAX,0.0023213988
TOTALAREA_MODE,0.0023189746
DAYS_REGISTRATION,0.0023103661
NONLIVINGAREA_MEDI,0.002310226
BUREAU_AMT_CREDIT_SUM_MIN,0.0022971442
INCOME_BIN_low,0.002296156
APARTMENTS_MODE,0.0022925157
LIVINGAPARTMENTS_AVG_MISSING,0.0022923576
CC_LIMIT_USAGE_SPREAD,0.002284117
COMMONAREA_MEDI,0.0022812628
BUREAU_BALANCE_AVG_STATUS_MEAN,0.0022758597
AMT_INCOME_TOTAL,0.0022739274
BASEMENTAREA_MODE,0.0022725472
PA_LAST_AMT_APPLICATION,0.002268442
PA_PORTFOLIO_0,0.0022677875
INCOME_PER_PERSON,0.0022666894
CC_SK_DPD_DEF_MAX,0.0022654873
YEARS_BUILD_MEDI,0.0022516237
LANDAREA_AVG,0.002245468
CC_SK_DPD_DEF_MEAN,0.0022438026
CNT_FAM_MEMBERS,0.002236684
CC_RECEIVABLE_TOTAL_MAX,0.002234181
IP_RECENT_DELAY_MEAN,0.0022339495
ENTRANCES_MODE,0.0022338724
PA_ANNUITY_CREDIT_RATIO_MEAN,0.0022319646
BUREAU_BALANCE_STATUS_5_SUM,0.00223151
IP_DELAY_TREND_MEAN,0.0022303462
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.0022216702
OBS_60_CNT_SOCIAL_CIRCLE,0.0022149573
YEARS_BUILD_AVG,0.002214727
CC_DRAWINGS_TOTAL_CNT_MAX,0.0022088476
PC_SK_DPD_MEAN,0.0021899992
PA_LAST_ANNUITY_CREDIT_RATIO,0.00218779
PA_DOWN_PAYMENT_RATIO_MEAN,0.0021846544
CC_HAS_DPD_RATIO,0.0021814413
PA_CONTRACT_TYPE_2,0.002178188
NAME_EDUCATION_TYPE_Lower secondary,0.0021722387
OBS_30_CNT_SOCIAL_CIRCLE,0.0021716459
YEARS_BUILD_MODE,0.0021619548
PC_PROGRESS_RATIO_MEAN,0.0021616346
PC_DPD_PER_LOAN,0.0021613876
